EstadoCivil,Genero,IngresoAnual,TotalHijos,Educacion,Ocupacion,Propietario,CantAutomoviles,Distancia,Region,Edad,ComproBicicleta
S,M,10000.0,4,'Educación secundaria (en curso)',Obrero,1,1,'0-1 Km.',Centro,46,1
S,M,70000.0,1,'Estudios universitarios (en curso)','Obrero especializado',0,1,'0-1 Km.',Sur,55,1
C,F,40000.0,1,Licenciatura,'Obrero especializado',1,1,'0-1 Km.',Centro,39,1
C,M,60000.0,3,'Estudios de postgrado',Gestión,1,2,'10+ Km.',Norte,74,0
S,F,60000.0,0,'Estudios universitarios (en curso)','Obrero especializado',0,2,'1-2 Km.',Norte,36,0
C,F,60000.0,2,'Estudios universitarios (en curso)',Profesional,1,2,'10+ Km.',Norte,64,0
S,F,40000.0,2,'Estudios universitarios (en curso)',Administrativo,1,2,'1-2 Km.',Centro,42,0
S,M,40000.0,0,'Educación secundaria','Obrero especializado',1,2,'5-10 Km.',Norte,36,0
S,F,10000.0,1,'Educación secundaria',Obrero,0,0,'1-2 Km.',Sur,37,1
C,F,60000.0,0,'Estudios de postgrado','Obrero especializado',1,0,'1-2 Km.',Norte,40,1
S,M,60000.0,3,Licenciatura,Profesional,1,1,'2-5 Km.',Sur,47,0
C,M,60000.0,2,'Estudios universitarios (en curso)',Profesional,1,1,'10+ Km.',Norte,62,0
S,M,30000.0,0,'Educación secundaria',Obrero,0,1,'2-5 Km.',Centro,40,0
C,F,110000.0,3,'Estudios universitarios (en curso)',Profesional,1,4,'5-10 Km.',Centro,57,1
S,F,40000.0,3,'Estudios universitarios (en curso)',Administrativo,1,2,'0-1 Km.',Norte,38,0
C,M,90000.0,4,Licenciatura,Gestión,1,1,'1-2 Km.',Norte,45,0
C,M,70000.0,4,'Estudios universitarios (en curso)',Profesional,1,1,'10+ Km.',Norte,61,0
C,M,150000.0,3,'Estudios de postgrado',Gestión,1,4,'0-1 Km.',Centro,66,0
C,F,60000.0,1,'Estudios universitarios (en curso)','Obrero especializado',1,1,'0-1 Km.',Sur,53,1
C,F,60000.0,0,'Estudios de postgrado',Profesional,0,1,'0-1 Km.',Norte,45,1
S,M,150000.0,3,'Educación secundaria',Profesional,0,4,'0-1 Km.',Centro,58,0
C,M,10000.0,2,Licenciatura,Administrativo,1,1,'2-5 Km.',Centro,74,0
C,M,20000.0,5,'Educación secundaria',Obrero,1,2,'0-1 Km.',Centro,34,0
C,M,40000.0,2,'Estudios universitarios (en curso)',Administrativo,0,1,'0-1 Km.',Centro,41,0
C,M,70000.0,5,Licenciatura,Profesional,1,2,'5-10 Km.',Sur,51,0
S,M,40000.0,2,'Estudios universitarios (en curso)',Administrativo,1,0,'0-1 Km.',Centro,43,0
C,F,50000.0,2,'Estudios de postgrado',Gestión,1,2,'1-2 Km.',Norte,79,0
C,F,60000.0,1,'Estudios de postgrado',Profesional,1,0,'2-5 Km.',Norte,42,0
C,F,30000.0,1,Licenciatura,'Obrero especializado',1,1,'1-2 Km.',Norte,60,1
C,F,30000.0,3,Licenciatura,Administrativo,1,0,'0-1 Km.',Centro,52,0
S,F,60000.0,0,'Estudios universitarios (en curso)',Profesional,1,2,'5-10 Km.',Norte,39,0
C,F,30000.0,2,'Educación secundaria','Obrero especializado',1,2,'1-2 Km.',Norte,56,0
C,F,90000.0,0,Licenciatura,Profesional,1,3,'10+ Km.',Sur,39,1
S,F,30000.0,1,Licenciatura,Administrativo,0,0,'0-1 Km.',Centro,46,0
S,F,70000.0,0,Licenciatura,Profesional,0,3,'10+ Km.',Sur,37,1
C,F,40000.0,1,'Estudios universitarios (en curso)',Administrativo,1,1,'0-1 Km.',Norte,54,0
